text,response,label,predict_label
"我是一名高中生，我有着短短的头发，有时扎有时披着，我的自画像，还有刘海，黑黑的，矮矮的，胖胖的，穿校服的，营养不良的。这就是我。<s>对学习充满希望，但又被学习的难度所击倒。<s>最有趣的地方是每周我的姐姐会带我可爱的小侄子来我们家玩，和安安（我侄子）一起玩十分有趣，和我妈还有姐一起打牌也十分有趣！我们有些时候还会出去玩，有些远的地方我们会骑自行车去，然后安安就会被我妈妈背在身后，用背带捆着，他会面朝背后，我们骑在我妈妈的后面，还可以去逗逗我侄子，看他笑，有的有趣。近的地方我们就会去河边的长椅上打牌，安安有时还会闹，所以大多是趁他睡着后才打。有斗地主，跑得快，UNO,每周回去看看他们来没来成为我生活最有意思的地方。最无趣的就是没有手机的住校的学习生活。<s>学习：头痛、疯狂、炸裂。<s>家庭：有时有爱有时无，但有更多，挺好玩的，挺幸福的，喜欢。<s>同学：牛逼<s>健康：随缘<s>我听到两个人说话，有人提到我的名字，我的第一反应是：在说什么？听备错了吗？哦。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：谁拍的？这么黑这么丑？？？<s>去年我：爱耍，成绩差，安安没出生。<s>明年我：学习，努力，看安安长大。",根据中国中学生的特点，他们通常会更负面地描述自己，但是他们的心理状态是健康的。在这段文本中，学生描述了学习的困难和压力，但同时也表达了对家庭和生活中有趣的事物的喜爱和期待。因此，我认为他的压力较大。得分为2分。,0,2
我是一个男孩，我叫程宸，我今年十二岁。我的爱好是看书，写字。我的学习成绩一般般，我的相貌平平。我热爱文字，每天坚持看书。我在班级中不是很出众。<s>焦虑 快乐 心累 担忧 随合 自卑<s>最有意思的地方.在学校中，和同学们一起奋笔疾书，一起在下课时闲谈时，内心流露出一种无法言喻的喜悦，感到特别地放松、自在、不受拘来、没有任何规矩在。其次是我和母亲交流时，大多是分享各自这一天下来各种的有趣的小事，还有在书海中阅读时。最无趣 在学校的延时服务时、应老师的要求改错.并上交。抑或是上数学课讲简单题时。<s>学习：成就感、劳累、自豪、喜悦、求知欲、关心、在乎、惊慌、惊讶、担扰、语感、语言、符号、有条理<s>家庭：包容、异常、温馨、保护，伞，树、过客、帮扶，支持、昏暗、疏远，不幸、快乐<s>同学：帮助、有爱、争执、虚伪、随声附合、回应、提出、拓展<s>健康：水果、心脉、大脑、精神、健康、近视、热夜<s>我听到两个人说话，有人提到我的名字，我的第一反应是：耐心倾听、装作在做什么，不让他人注意到，看看他们要说些什么？吸取批评或他的看法，由此修改自己，若是坏话，我想疏远他们，并加以观察。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：操场花园安静的一隅，我疏远人群感受一草一木。<s>去年我：我独自坐在座位上，孤零零地看向窗外或是手着一样来看。<s>明年我：我依旧看着翻子又翻的《余光中散文》。,根据中国中学生的特点，他们通常会更负面地描述自己，但是他们的心理状态是健康的。在这段文本中，学生描述了自己的一些压力和焦虑，但同时也表现出对学习和家庭的关心和喜悦。他对同学和健康的描述也表现出一些积极的情绪。因此，我认为他的压力较小，给1分。,2,1
我叫杨吴，一个九年级的学生。我的爱好是打游戏，平时闭着时我就会去玩，有时我也会出去打篮球，因为我的压力很小，所以说每一次都玩的不意乐乎，我也喜欢去吃一些零食，没事干也会去找事情做，总之就是不愿闲着，这就是我。<s>轻松愉快，忙碌，开心，认真、精力充沛。<s>最有趣：可以自由的去做事情。和朋友玩耍，玩游戏胜利了。最无趣：没事情做，没有手机或不能玩手机。<s>学习：阅读、品味、思考、背诵。<s>家庭：幸福，美满。<s>同学：亲近，友善。<s>健康：强健、兴奋。<s>我听到两个人说话，有人提到我的名字，我的第一反应是：他们在议论我吗？还是说只是提起了一下，没什么恶意。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：当时啊，这场景多么令人回忆啊。<s>去年我：一年前的我，和现在基本一样啊。<s>明年我：一年后的我，似乎也没有什么变化。,根据中国中学生的特点，他们通常会更负面地描述自己，但是内心状态是健康的。从这段文本中可以看出，学生描述自己的状态轻松愉快，忙碌，开心，认真、精力充沛，这表明他对自己的状态感到满意。他对生活中最有趣的地方描述为可以自由地做事情，和朋友玩耍，玩游戏胜利了，而最无趣的地方是没事情做，没有手机或不能玩手机。这表明他对生活充满了乐趣，但也有一些对无聊的事情的抱怨。在词汇联想中，他对学习、家庭、同学、健康都有积极的描述。在句子补全中，他对别人提到他的名字的反应是怀疑别人是否在议论他，这可能表明他对他人的评价比较在意。综合来看，他的压力较小，因此给出1分。,0,1
在我的自画像上，是一个身高162cm的女孩。扎着低马尾，戴着个细黑框眼镜，有着浓密的眉毛，一双丹凤眼，高挺的鼻梁以及红润的M型嘴唇、黄皮偏白，体型偏瘦，在自画像上露出洁白的牙齿，有一颗虎牙，笑起来阳光开朗是个爱笑的女孩儿，自画像上穿的是校服，看起来更加青春活力，自画像里放着古筝琵琶以及跳舞的红绸，由此可以看出她对音乐、舞蹈的喜爱，画的下方有一只可爱圆滚滚的猫猫，这只猫表现出对她的亲近，猫的周围也有许多玩具，说明她是一个爱猫人士，墙上还有许多也界各地的照片，表明了她热爱旅游热爱生活，热爱世界，别忘了照片上都有当地美食，她可是一个热爱美食的小吃货哦。<s>若无闲时挂心头，便是人间好时节。乐观积极向上，勇于挑战困难，突破自我，忠于自己<s>生活中最有意思的地方，在学习上不断进步，不断收获新知识，丰富自我；在家庭中，父母关爱，关心陪伴我成长，在精神上与物质上都满足我，在遇事时，发现自己在不断进步，每次处理事情都在原来基础上有所改变，向着理智，果断靠近；生活中有着无数的变与不变，在“变”与“不变”中感受生活，感受人间百态，从中领悟，思考是有趣生活。最无趣的地方：暂时没有<s>学习：知识，提升自我的最佳途径、财富<s>家庭：温暖、开心、后盾<s>同学：友谊，开心<s>健康：长寿，舒适<s>我听到两个人说话，有人提到我的名字，我的第一反应是：有点好奇。去听一下.<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：18年的复天，旅游的路上，遇见自己喜观的人.<s>去年我：有点摆烂<s>明年我：勤奋又刻苦，发奋图强，卷.,根据中国中学生的特点，他们通常会在自我描述中更负面地描述自己，但实际心理状态是健康的。这位学生在自我描述中展现了对自己外貌和兴趣爱好的积极态度，同时也表达了对学习、家庭、同学和健康的正面看法。她对生活中有趣和无趣的地方也有清晰的认识。综合来看，她的心理状态较为健康，对生活充满了积极的态度。因此，我会给予1分，认为她的压力较小。,2,1
1、一个开朗的男孩 2、成绩很好 3、帅气的 4、喜欢参加公益活动 5、被老师、家长看好的 6、与同学关系融洽 7、一名初中生 8、喜欢玩，但不会影响学习 9、对外界的东西并不是很好奇 10、并不喜欢创新<s>忙、忧虑、担心、焦虑、没有精神<s>1、和朋友一起玩（有意思）2、上我擅长科目的课（有意思）3、参加各种活动（有意思）4、上自己不擅长的科目的课（最无趣）5、和别上讨论新闻与科技（最无趣）<s>学习：语文、数学、英语、生物、地理、政治，历史，物理，努力，自律，习惯，成绩<s>家庭：火药味重，不开心<s>同学：相处融恰，竞争，成绩排名，优秀<s>健康：重要、安全，生命，成长<s>我听到两个人说话，有人提到我的名字，我的第一反应是：他们在聊我？我这么优秀？嗯...他们应该不是不说我坏话<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：那时的自己在想什么，喜欢什么<s>去年我：幼雅，喜欢各种动画片，讨厌学习<s>明年我：成熟，喜欢学习，成绩可以提升很多,根据这段文本，结合中国中学生的特点，我认为这位学生的压力较大，给出2分。他在描述自己时，虽然表现出自信和积极的一面，但也透露出对外界评价的在意和对自身发展的期待。他对自己的要求较高，希望成熟并提升成绩，同时也感受到了来自家庭和同学的压力。因此，我认为他的压力较大。,0,2
1、在不熟或者长辈面前是内向的人2、在同学面前是阳光开朗小女孩3、出生于2006梦想做说唱领袖。4、喜欢看小说，看漫画5、喜欢听歌，RAP风格居多。6、学过跆拳道，拉丁舞，小学之前学的7、学过十年画画，上高中没学了。8、写过小说，开了很多坑没填，只完结了一本。9、写过RAP词，愿望是出一首RAP歌，现在正在想词中。10、喜欢唱歌。<s>焦虑，开朗，顾虑太多，莫名其妙的着急焦虑，有时难过，开心居多。<s>最有意思：1、和朋友一起出去玩2、和朋友一起打游3、喜欢的歌手出了新歌，被翻了牌子4、一个人熬夜看小说，看漫画5、游戏抽到了喜欢的角色6、和朋友在一起。最无趣：1、上蒋涛的数学课，又难又听不懂，不如自学2、做作业3、等小说和漫画更新4、遇到难题做不出来且没有答案5、遇到讨厌的人6、讨厌的人不识分寸“骚扰”我7、讨厌的人，没有眼力见的来接近我8、我假意敷衍讨厌的人，讨厌的人认为我在关心他<s>学习：多，难，时间长，没劲，学校，同学，朋友<s>家庭：小狗，不给零花钱，都是我试着要，妈妈做饭好吃，有点封建<s>同学：多，关系好，讨厌的人不识分寸，无语<s>健康：自我怀疑心理问题，好，倍儿棒，猛<s>我听到两个人说话，有人提到我的名字，我的第一反应是：1、无意之中得罪了谁2、说我坏话3、我的热心伤害了谁<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：一般，怀念，与朋友一起分享一起回忆，哈哈大笑。<s>去年我：为高中去向焦虑，平安快乐，拥有一条小狗，上了高中，遇到了新的好朋友和新的讨厌的人。<s>明年我：为大学去向焦虑，平安快乐，考上心仪大学，学上了医学，找到对象，出了自己的歌，写完了自己的小说。,"根据中国中学生的特点，他们通常会更负面地描述自己，但是内心状态是健康的。从这段文本中可以看出，学生描述了自己在不同场合下的不同状态，以及对生活中有趣和无趣的事情的描述。他还提到了学习、家庭、同学和健康等方面的情况。在句子补全部分，他表达了对自己行为可能带来的影响的担忧，以及对过去和未来的期待。综合来看，虽然他描述了一些负面情绪和焦虑，但整体上他的心理状态是健康的。

综上所述，我给出1分的评分，认为他的压力较小。",0,1
我是一名中字生。一名生活中有苦有乐的中学生。在生活中，我经常与朋友交往。我目前有三位朋友。他们对我都很不错。虽然每天晚睡早起，但是中午有午休，这让我感到庆幸。不知何时，我脸上的痘日渐增多，被我妈说成是麻子脸。这让我有点不开心。在学校，在老师的眼中，我是他们眼中的一般人。顺使一说，我脸上的痣也怪多的。<s>开心，忐忑、焦躁不安、喜出望外、无学习动力<s>当作业发下来后，翻开来，上面的等级批号经常让我感到兴奋和短暂的沮丧。每当周五下午，回到家，看着电视上昨天晚上更新的动漫，看着看着，越来越兴奋。当每周二下午的周测结束后，我会因为没答好感到眼前一片灰蒙蒙心情也不好。在老师评讲试卷时，我常会感到无聊。在周末写完作业后，一切都变好起来。<s>学习：希望，生活、单一、枯躁、职业<s>家庭：和谐、冷清、<s>同学：玩耍、互助 纠纷<s>健康：本质<s>我听到两个人说话，有人提到我的名字，我的第一反应是：是说我的消息<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：回想不起来<s>去年我：迷茫 焦躁<s>明年我：有目标，目的学习，充实生活,根据这段文本，结合中国中学生的特点，我认为压力较大，给出2分。在这段文本中，学生描述了自己在学习、家庭、同学和健康方面的压力和困扰，以及对自己外貌的不满。同时，他也表达了对学习成绩的焦虑和对未来的迷茫。这些都显示了他在面对学业和生活压力时的挣扎和不安。因此，我认为他的压力较大。,2,2
"我不是很白，我有一对亮晶晶的眼睛，虽然不是很大，但我很喜欢，我脸上有许多痘痘，但是我不嫌弃，我的脸很圆，大家都说我长得像一个团子，脸十分Q弹，同学们都很喜欢我的脸，说我长得很可爱，我也是这么觉得的，我的发际线很高，所以我给我自己剪了刘海，十分完美，我非常喜欢，总之，我对我自己的脸很满意。<s>1、最近很暴躁，控制不了我自己的情绪。2、也十分开心，有同学们的陪伴，<s>有意思：1、每天上学能见到同学2、下课能和同学玩耍，感到十分放松，心情愉悦3、每到饭点的时候，我就很开心,即使学校的饭菜不是很好吃，但是还是感到开心。4、体育课和体锻时在操场上自由奔跑，为这一天学习的压力得到彻底的释放。每当你感到不开心，身体不舒服时你的好朋友们都会围着你，安慰你，逗你开心。无趣：1、每当上英语课觉得挺无趣的，因为成绩不好，所以听不懂讲什么2、因为我矮，所以我们班有些同学会给你取一些“恶心”的外号3、放学回家很无聊，没有人跟你玩也不能玩手机4、做作业时十分无聊5、有些同学会在你背后说你坏话。<s>学习：看书、上学、写作业、考试、教材<s>家庭：美好，温暖，开心，有趣<s>同学：友好，好相处，互帮互助，八卦<s>健康：运动、蔬菜，米饭、早睡早起。<s>我听到两个人说话，有人提到我的名字，我的第一反应是：转头看向那人，并问叫我干什么。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：我穿着新衣服，头戴一朵鲜花，和弟弟摆出姿式，妈妈也在旁边，爸爸在镜头后拍下这美好的一幕。<s>去年我：很天真，对什么事都好奇，成绩不好<s>明年我：考上普高，一样乐观，开朗",根据这段文本，我觉得这位中学生的压力较小，因为他对自己的外貌和生活状态都持有积极的态度，虽然有一些无趣的地方，但是他也有很多有意思的地方。他对学习、家庭、同学和健康都有积极的词汇联想，说明他对这些方面的生活都持有积极的态度。因此，我给出1分。,2,1
我的自画像，我叫杨爽，是一个不是很爱说话却很外向的人。有些事宁愿看着，可能也不太愿意去回应，尤其是与人交往时。我喜欢玩游戏，喜欢听歌，喜欢唱几句，会弹吉他，但没什么过多的爱好，喜欢闲着。我不喜欢外露，可能因为本身自卑，也可能认为太过狂傲会很麻烦，天生的空想主义者。我喜欢朋友，朋友会让生活不机械化，他们说话时的各种语气姿态，我会很感兴趣。我自认为本人比较有礼貌，除去一些对我不尊重的人，但我也愿意尊重他们，我比较敏感，任何人的话与动作都会吸引我的兴趣，甚至引起情感上的波动，所以我更愿理性主导自己。<s>迷茫却清醒，孤傲却自卑，困惑，平静，充满希望。<s>最有意思的地方是小区旁的一条河，我喜欢去那散步，却不常去。那条河旁边，经常有人钓鱼，跑步，遛狗......和是不算澄清的景色，也不是很好。河里垃圾会让人烦躁的，所以基本不看河，就静静地走路。最无趣的地方是晚自习的教室，作业太多，让我有种任务的沉重感，我会很烦躁，因为作业会打乱我很多计划。<s>学习：知识，院士，工地，思维，世界，事物，事情。<s>家庭：父亲，母亲，吃饭，被子，网络，自由，舒适。<s>同学：疑惑，好奇，朋友。<s>健康：身体，发展。<s>我听到两个人说话，有人提到我的名字，我的第一反应是：转过头去看一眼，我会想他们在说什么，继续做自己的事，但会继续想他们的对话。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：我坐在玩具车上，在一条巷子里，满面笑容。<s>去年我：没干什么事<s>明年我：坚持复习，未知。,根据这段文本，结合中国中学生的特点，我认为这位学生的压力较大，给出2分。这位学生在自我描述中表现出一定的自卑感和困惑，对生活中的一些事物有着较为消极的态度，例如对晚自习的教室和作业的烦躁感。同时，他也表现出对他人言行的敏感和情感上的波动，这可能会增加他的心理压力。因此，我认为他的压力较大。,0,2
我叫张阳，现在是一名高中生，在家里我是家庭的一部分，在学校，我是班级的一位成员，在社会，我是一名普通人，在我自己眼中，我认为天生我材必有用，在父母眼里，我一直都是一个很优秀的人。<s>乐观，有时觉得学习有压力，和同学友好相处很快乐。现在白天不怎么犯困了，感觉还比较顺利。<s>最有意思：饭后相比于初中，有更多时间可以去操场散步或运动，校园环境相较小学，初中确实很不错，可以运动的时间变多了，因为初中要体考，几乎没有自由运动时间。最无趣：相比初中，学习压力和难度上升了一个维度，睡眠时间没有那么充足。星期天下午就要返校，感觉周末时间被压缩了。<s>学习：压力大，有一定实际性收获，起早贪黑，被以学习为重心思想冲昏头脑，对提升自我素养有一定帮助。<s>家庭：幸福、和谐、团结、美好<s>同学：互帮互助，有时候会被贬低，有些同学之间勾心斗角，一起相处还是比较快乐的。<s>健康：健康第一，希望家人都能建健康康。生病了不是担心身体问题，担心的是落下了多少节课。<s>我听到两个人说话，有人提到我的名字，我的第一反应是：有可能对我有意见在对我进行评价，也可能是有事要找我。<s>当我翻阅一本相册时，我看到一张自己的照片，让我回想起那个令我印象深刻的场景：如果是比较尴尬的场景，我会觉得当时很幼稚，如果是快乐的场景，我会不断回味，想回到哪个时候。<s>去年我：去年的我为了中考每天都担心着，对于去年，我有着更多的收获和成长。<s>明年我：明年希望一切都顺顺利利，希望合格考能顺利通过，希望能少一些后悔，多一点成长。,根据中国中学生的特点，他们通常会更负面地描述自己，但是他们的心理状态是健康的。从这段文本中可以看出，张阳对自己的要求较高，对学习和未来有一定的压力，但同时也有乐观的态度，对家庭、同学和健康都有积极的看法。因此，我认为张阳的压力较大，给出2分。,0,2
