text,response,label,predict_label
家庭：有时有爱有时无，但有更多，挺好玩的，挺幸福的，喜欢。,根据这段文本，我认为家庭功能属于等级1：家庭功能中等。因为文本中提到家庭有时有爱有时无，但更多的是挺好玩的和挺幸福的，这表明家庭成员之间的关系和互动方式并不总是良好，但整体上还是比较积极和幸福的。,1,1
家庭：包容、异常、温馨、保护，伞，树、过客、帮扶，支持、昏暗、疏远，不幸、快乐,根据这段文本，我认为家庭功能等级为1:家庭功能中等。因为文本中出现了一些积极的词汇，如包容、温馨、保护、帮扶、支持，这些词表明家庭在一定程度上具有积极的功能，但同时也出现了一些消极的词汇，如异常、昏暗、疏远、不幸，这些词表明家庭在某些方面存在一定的问题，因此我认为家庭功能处于中等水平。,1,1
家庭：幸福，美满。,根据这段文本，我判断家庭功能等级为0:家庭功能较高。因为学生对家庭有着积极的认知，认为家庭是幸福美满的，这表明家庭成员之间的相互关系和互动方式良好，家庭功能较高。,1,0
家庭：温暖、开心、后盾,根据这段文本，我认为家庭功能等级为0:家庭功能较高。因为文本中出现了温暖、开心、后盾等词语，表明学生对家庭有着积极的情感联想，认为家庭是一个温馨、快乐的地方，同时也是自己的后盾，这反映了家庭成员之间的相互关系和互动方式良好，家庭功能较高。,1,0
家庭：火药味重，不开心,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中描述的家庭氛围是火药味重，不开心，这表明家庭成员之间的相互关系和互动方式可能存在较大的问题，家庭功能较低。,1,2
家庭：小狗，不给零花钱，都是我试着要，妈妈做饭好吃，有点封建,根据这段文本，我认为家庭功能等级为2：家庭功能较低。因为文本中透露出一些家庭成员之间的不良互动方式，比如不给零花钱、试着要等，以及对妈妈做饭的评价有点封建，这些都反映出家庭成员之间的相互关系和互动方式不够良好。,1,2
家庭：和谐、冷清、,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中只提到了“和谐”一词，但同时也出现了“冷清”，这暗示着家庭中可能存在着一定程度的冷漠和缺乏温暖的情感交流。,1,2
家庭：美好，温暖，开心，有趣,根据这段文本，我判断其家庭功能等级为0:家庭功能较高。因为文本中的词汇联想表达了对家庭的积极、正面的情感和认知，说明家庭在情感上给予了积极的支持和温暖，成员之间的关系良好，家庭功能较高。,1,0
家庭：父亲，母亲，吃饭，被子，网络，自由，舒适。,根据这段文本，我判断家庭功能等级为1:家庭功能中等。因为文本中提到了父亲和母亲，说明家庭成员齐全；同时提到了吃饭和被子，说明家庭提供了基本的生活保障；但也提到了网络和自由，可能意味着家庭成员在家庭中有一定的自由空间，但也可能存在一定的独立性和分离感。,0,1
家庭：幸福、和谐、团结、美好,根据这段文本，我认为家庭功能等级为0:家庭功能较高。因为文本中出现了积极的词汇，如“幸福”、“和谐”、“团结”、“美好”，这表明学生对家庭有着积极的联想，认为家庭是一个幸福、和谐、团结、美好的地方，这反映了家庭成员之间的相互关系和互动方式良好，家庭功能较高。,0,0
家庭：美好、和睦、友好、包容、爱、关心、支持、幽默,根据这段文本，我认为这位中学生对家庭的词汇联想表现出家庭功能较高的特点，因此我会给出等级0。,0,0
家庭：美满,根据这段文本，我判断家庭功能等级为0:家庭功能较高。因为文本中提到“美满”，说明学生对家庭有着积极的认知和情感，认为家庭关系良好，家庭功能得到了充分的发挥和实现。,1,0
家庭：父母兄弟姐妹、回忆、美好欢乐、爷爷奶奶外公外婆、过年、跨年、亲子、亲子活动、吵架,根据这段文本，我判断其家庭功能等级为1:家庭功能中等。因为文本中提到了父母、兄弟姐妹、爷爷奶奶外公外婆等家庭成员，以及回忆、美好欢乐、过年、跨年、亲子活动等积极的家庭联想，但也提到了吵架这一消极的家庭联想，说明家庭功能在中等水平上。,1,1
家庭：父母对我都很好，管控手机过严，看重学习成绩过重，不会违反约定，但不会很理解我的想法，中国式教育过重。,根据这段文本，我判断家庭功能等级为1：家庭功能中等。父母对孩子很好，但在管控手机和看重学习成绩方面可能存在一定的过重和过严，同时也存在对孩子想法的理解不足。这种情况下，家庭功能处于中等水平，有一定的改进空间。,1,1
家庭：和谐、美好,根据这段文本，我判断其家庭功能等级为0:家庭功能较高。因为文本中提到了“和谐”和“美好”，这表明学生对家庭有着积极的联想，认为家庭关系良好，家庭成员之间的互动方式也是积极的。,1,0
家庭：父母，姐姐，大学，目标，法官，,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中提到的词汇较为零散，没有体现出家庭成员之间的相互关系和互动方式良好，也没有体现出家庭成员在家庭中所扮演的角色和完成的任务得到了充分的发挥和实现。,0,2
家庭：温暖，有时会吵架，但更多的是温暖，,根据这段文本，我认为家庭功能等级为1：家庭功能中等。因为文本中提到家庭温暖，但也会有吵架，整体来说是一个比较中等的家庭功能。,0,1
家庭：幸福、美满、和睦,根据这段文本，我判断家庭功能等级为0:家庭功能较高。因为学生对家庭的词汇联想中包含了“幸福、美满、和睦”等积极的词语，显示出对家庭的正面认知和积极情感，这反映了家庭成员之间的相互关系和互动方式良好，家庭功能较高。,0,0
家庭：争吵，固定，逃离。,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中出现了负面词汇“争吵”和“逃离”，这表明家庭中存在着冲突和不和谐的情况，家庭功能较低。,0,2
家庭：幸福，争吵、温馨、重组,根据这段文本，我认为家庭功能等级为1:家庭功能中等。因为文本中出现了积极的词汇“幸福”和“温馨”，但也出现了消极的词汇“争吵”，同时还提到了“重组”，这可能意味着家庭存在一些变动和调整。因此，我认为这个家庭的功能处于中等水平。,0,1
家庭：温暖，相亲相爱，短暂，相逢，少有矛盾，彼此信任,根据这段文本，我认为家庭功能等级为0:家庭功能较高。因为文本中描述了家庭成员之间的温暖、相亲相爱、少有矛盾、彼此信任等正面的互动和关系，这表明家庭成员之间的相互关系和互动方式良好，家庭功能较高。,0,0
家庭：平安健康,根据这段文本，我判断家庭功能等级为0:家庭功能较高。因为文本中提到的“平安健康”表明家庭成员之间关系良好，家庭成员在家庭中所扮演的角色和完成的任务得到了充分的发挥和实现。,0,0
家庭：和谐，快乐，美满,根据这段文本，我判断家庭功能为0:家庭功能较高。因为文本中出现了和谐、快乐、美满等词语，表明学生对家庭有着积极的联想，认为家庭关系良好，家庭功能较高。,0,0
家庭：和谐、节俭、和睦、快乐、温馨、安全、美好，没有烦恼、开心,根据这段文本，我认为家庭功能等级为0:家庭功能较高。因为文本中出现了和谐、和睦、快乐、温馨、安全、美好等积极的词语，表明家庭成员之间的关系良好，家庭氛围积极向上，家庭功能较高。,0,0
家庭：不和，无助；逃离；责任；合格；参差,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中出现了负面词汇，如“不和”、“无助”、“逃离”，这表明家庭成员之间的关系可能存在紧张和冲突，家庭功能较低。,2,2
家庭：破裂、后悔,根据这段文本，我判断其家庭功能等级为2：家庭功能较低。因为文本中出现了“破裂”和“后悔”等消极词汇，暗示着家庭关系可能存在问题，家庭功能较低。,2,2
家庭：复杂，吵，神经，物质，生活，和谐,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中出现了负面词汇“复杂”、“吵”、“神经”等，这些词汇暗示着家庭中存在着紧张、冲突和不和谐的关系，家庭功能可能较低。,2,2
家庭：好，家长一会儿好一会儿暴躁。,根据这段文本，我判断其家庭功能等级为2:家庭功能较低。因为文本中提到家长时好时暴躁，暗示了家庭中可能存在情绪不稳定的情况，这可能会对家庭成员之间的相互关系和互动方式产生负面影响。,2,2
"家庭：烦、讨厌,不想回去；逃离，恶心，神经病.无语，妈妈最好，压力，",根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中表达了对家庭的负面情绪，包括烦恼、讨厌、逃离、恶心等，这反映了家庭成员之间的关系和互动可能存在问题，家庭功能较低。,2,2
家庭：温暖的，原生家庭的影响，家庭一定程度上决定孩子,根据这段文本，我判断家庭功能等级为1:家庭功能中等。因为文本中提到了“温暖的”和“原生家庭的影响”，这表明家庭在一定程度上对孩子有影响，但并没有具体提到家庭功能的良好或不良，因此判断为中等家庭功能。,2,1
家庭：现在的坟场，未来的天堂,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为这段文本表达了对家庭的消极情绪，将家庭比喻为坟场，暗示家庭给人带来负面情绪和压力，这可能反映出家庭成员之间的关系不够和谐，家庭功能较低。,2,2
家庭：逃离，平静,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中出现了“逃离”的词汇，暗示着家庭可能存在一定程度的紧张或不和谐，而“平静”则可能是对家庭中缺乏情感表达和沟通的描述。因此，可以推断家庭功能较低。,2,2
家庭：和谐，压抑、莫名某妙、冲突、吵架，游玩、欢笑，爱,根据这段文本，我认为家庭功能等级为1:家庭功能中等。因为文本中既有积极的词语如“和谐”、“游玩”、“欢笑”、“爱”，也有消极的词语如“压抑”、“冲突”、“吵架”。这表明家庭中存在一定程度的问题和挑战，但同时也有积极的互动和情感表达。,2,1
家庭：压力、父母、爷爷奶奶,根据这段文本，我判断家庭功能等级为2：家庭功能较低。因为文本中出现了“压力”这个负面词汇，暗示着家庭可能存在一定的压力和紧张氛围。同时，提到了父母和爷爷奶奶，但没有提及家庭成员之间的积极互动或者家庭成员角色的发挥，这也暗示着家庭功能可能较低。,2,2
