text,response,label,predict_label
学习：头痛、疯狂、炸裂。,学业负担等级为1。因为学生用“头痛、疯狂、炸裂”这些词来形容学习，表明他们对学习感到压力和焦虑，学业负担较重。,1,1
学习：成就感、劳累、自豪、喜悦、求知欲、关心、在乎、惊慌、惊讶、担扰、语感、语言、符号、有条理,"等级1

理由：从这段文本中可以看出，学习对于这位中学生来说既有成就感和自豪感，又有劳累和担扰的情绪，同时还有求知欲和关心的态度。这表明学生对学习有较高的投入和期待，可能承受着较大的学业压力。",0,1
学习：阅读、品味、思考、背诵。,"学业负担等级：0

理由：这段文本表明学生对学习有着积极的态度，强调了阅读、品味、思考和背诵等多种学习方式，而没有过多强调考试成绩或者竞争压力，因此可以判断学业负担较小。",0,0
学习：知识，提升自我的最佳途径、财富,等级0，因为这段文本表达了学习对于个人成长和提升的积极意义，没有体现出学业负担的压力和负面情绪。,0,0
学习：语文、数学、英语、生物、地理、政治，历史，物理，努力，自律，习惯，成绩,等级为1。这段文本中提到了多门学科的名称，以及努力、自律、成绩等与学习相关的词汇，说明学生在学习上面临着较大的学业负担。,0,1
学习：多，难，时间长，没劲，学校，同学，朋友,学业负担等级为1。因为文本中出现了“多”，“难”，“时间长”等词语，表明学生对学习有较大的压力和负担感受。,1,1
学习：希望，生活、单一、枯躁、职业,"学业负担等级1

这段文本中出现了“单一”和“枯躁”等词语，暗示了学习可能给学生带来压力和负担，因此可以判断学业负担等级为1。",1,1
学习：看书、上学、写作业、考试、教材,等级为1。因为文本中提到了看书、上学、写作业、考试，这些都是中国中学生通常需要面对的学业压力，说明学业负担较大。,0,1
学习：知识，院士，工地，思维，世界，事物，事情。,"学业负担等级0

理由：这段文本中的词汇联想主要围绕着知识、思维和事物等，没有直接涉及到考试、压力、竞争等与学业负担相关的词汇，因此可以判断学业负担较小。",0,0
学习：压力大，有一定实际性收获，起早贪黑，被以学习为重心思想冲昏头脑，对提升自我素养有一定帮助。,等级为1。这段文本表明学习对于这位中学生来说是一个巨大的压力，需要起早贪黑，而且学习被放在了重要的位置上，甚至影响了思想。这显示了学业负担较重。,0,1
学习：劳累、有趣、无聊、压力、困惑、迷茫、烦恼、焦虑、希望、难过、不满,等级为1。这段文本中出现了很多负面情绪词汇，如劳累、压力、困惑、烦恼、焦虑等，表明学生对学习存在较大的负担和压力。,0,1
累、必要,等级为1。中国中学生普遍面临着巨大的学业压力，他们认为学习是一项必要的任务，但同时也感到累。这种表达反映了他们对学业的重视和承受的压力。,0,1
学习：学科、书籍、老师、学生、文具、知识、有趣、枯燥、简单，困难、笔记、考试、进步、逐步、排名、作业、试卷、答案、理解、计算,等级为1。这段文本中出现了很多与学习相关的关键词，如学科、书籍、老师、学生、知识、考试、作业等，这些关键词反映了学生对学习的重视和学习内容的丰富多样，说明学生的学业负担较重。,0,1
学习：压力大，难理解，作业多又难，不喜欢，有过一些小成就，但被泼冷水的时候更多。,等级为1。因为文本中提到学习带来的压力大，难理解，作业多又难，以及被泼冷水的时候更多，这些都表明学生的学业负担较重。,0,1
学习：压力、压抑,"学业负担等级1

理由：学生将学习联想到了压力和压抑，这表明他们对学习存在较大的压力和负担感受，因此学业负担等级较大。",0,1
学习：压力、厌倦、讨厌、成就、荣光、枯燥、无趣、无聊、无用、无能、人生的意义,等级为1。这段文本中出现了压力、厌倦、讨厌等负面情绪词汇，表明学生对学习存在较大的负担和压力。,1,1
学习：无精打采，有时认真,等级1，学业负担大。因为学生描述自己学习时“无精打采”，这表明学习压力较大，可能感到疲惫和压力。,1,1
学习：困，累，不是很喜欢。,"等级1

理由：学生对学习的联想中出现了负面情绪词汇，如“困”、“累”，表明学生对学习可能存在压力和负担感，因此学业负担较大。",1,1
学习：枯燥、快乐、兴奋、开心、紧张、讨厌、激动,等级为1。这段文本中出现了“枯燥”、“紧张”、“讨厌”等负面词汇，表明学生对学习可能存在一定的压力和负担，学业负担较大。,1,1
学习：写作业看书，学习，高考，上课，考试，未来考大学，大学，专科、春招、进厂,等级为1。这段文本中出现了很多与学习、考试、未来规划等相关的词汇，反映了中国中学生普遍面临着较大的学业压力和未来规划压力。,1,1
学习：知识、学业、未来、生活、压力、目标、受益、理想、坚苦、奋斗、青春。,学业负担大（1）。这段文本中出现了很多与学业、压力、奋斗等相关的词汇，反映了学生对学习的认识中存在着较大的压力和奋斗的意识，说明学业负担较大。,1,1
学习：无聊、伤脑筋，麻烦,"学业负担等级1

理由：学生将学习描述为无聊、伤脑筋、麻烦，这表明他们对学习感到压力和负担，认为学习是一件困难且烦人的事情，暗示着学业负担较重。",1,1
学习：认识、实践、理论、笔记、练习、积累、果实,等级1。这段文本中出现了很多与学习相关的词汇，如认识、实践、理论、笔记、练习、积累、果实，这表明学生对学习有很高的要求和期望，可能承受着较大的学业压力。,1,1
学习：学以致用，格物致知，勤学苦练，学海无涯。,"学业负担等级0
这段文本表达了对学习的积极态度，强调了学习的目的是为了应用和实践，而不仅仅是为了应付考试。这种态度体现了学生对学习的自主性和主动性，说明学生对学习的负担并不过重。",1,0
